Rk,Team,Games,Wins,Losses,Pythagorean win,Pythagorean Loss,3P,3Pt Attempt,3P%,3Pt Attempt Rate,Margin of Victory,Pace Factor
,,,,,,,,,,,,
5,Atlanta Hawks,82,40,42,38,44,13.5,37.7,0.358,0.41,-1.13,102.6
8,Boston Celtics*,82,61,21,62,20,17.8,48.2,0.368,0.536,9.11,95.7
30,Brooklyn Nets,82,26,56,23,59,13.6,39.4,0.344,0.458,-7.11,96.4
29,Charlotte Hornets,82,19,63,20,62,13,38.3,0.339,0.43,-9.11,97.6
6,Chicago Bulls,82,39,43,37,45,15.4,42,0.367,0.457,-1.56,102.8
1,Cleveland Cavaliers*,82,64,18,62,20,15.9,41.5,0.383,0.457,9.54,99.8
15,Dallas Mavericks,82,39,43,38,44,12.4,34.2,0.364,0.389,-1.2,99.2
3,Denver Nuggets*,82,50,32,50,32,12,31.9,0.376,0.356,3.89,99.8
12,Detroit Pistons*,82,44,38,46,36,12.8,35.4,0.362,0.394,1.9,99.8
17,Golden State Warriors*,82,48,34,49,33,15.4,42.4,0.364,0.469,3.3,98.7
14,Houston Rockets*,82,52,30,52,30,12.7,35.8,0.353,0.384,4.51,98.6
7,Indiana Pacers*,82,50,32,46,36,13.2,35.8,0.368,0.4,2.23,99.9
20,Los Angeles Clippers*,82,50,32,53,29,12.5,33.4,0.373,0.387,4.66,97.5
19,Los Angeles Lakers*,82,50,32,44,38,13.3,36.4,0.366,0.425,1.22,97.6
2,Memphis Grizzlies*,82,48,34,52,30,13.9,37.9,0.367,0.406,4.85,103.3
24,Miami Heat*,82,37,45,42,40,13.7,37.3,0.367,0.429,0.56,96.2
11,Milwaukee Bucks*,82,48,34,47,35,14.2,36.6,0.387,0.424,2.48,99.3
13,Minnesota Timberwolves*,82,49,33,53,29,15,39.9,0.377,0.455,5,97.3
25,New Orleans Pelicans,82,21,61,20,62,12,34.6,0.347,0.385,-9.43,99.1
9,New York Knicks*,82,51,31,51,31,12.6,34.1,0.369,0.382,4.1,96.7
4,Oklahoma City Thunder*,82,68,14,68,14,14.5,38.8,0.374,0.419,12.87,100
28,Orlando Magic*,82,41,41,41,41,11.2,35.3,0.318,0.411,-0.12,96.1
26,Philadelphia 76ers,82,24,58,26,56,12.7,37.2,0.341,0.426,-6.23,97.4
18,Phoenix Suns,82,36,46,34,48,14.3,38,0.378,0.44,-3,97.1
23,Portland Trail Blazers,82,36,46,33,49,12.9,37.7,0.342,0.418,-2.98,98.8
10,Sacramento Kings,82,40,42,42,40,12.6,35.2,0.357,0.391,0.48,98.2
16,San Antonio Spurs,82,34,48,34,48,14.1,39.6,0.357,0.441,-2.76,99.3
22,Toronto Raptors,82,30,52,30,52,11.8,34,0.348,0.373,-4.29,99.7
21,Utah Jazz,82,17,65,20,62,14,39.8,0.35,0.449,-9.34,100
27,Washington Wizards,82,18,64,15,67,13.1,39.1,0.335,0.435,-12.44,100.9
